PeakID (cmd=annotatePeaks.pl ./homer_results/mouse_specific_peaks_conservative/peaks_homer.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr12:5213516-5214367:479	chr2	23557029	23557029	+	-1	NA	intron (NM_052920, intron 2 of 13)	intron (NM_052920, intron 2 of 13)	171850	NM_052920	114818		NM_025067	ENSG00000119771	KLHL29	KBTBD9	kelch like family member 29	protein-coding
chr15:64023714-64024355:521	chr8	129972111	129972111	+	-1	NA	intron (NM_001353269, intron 1 of 10)	intron (NM_001353269, intron 1 of 10)	-32300	NM_001353298	51571		NM_016623	ENSG00000153310	CYRIB	BM-009|CYRI|CYRI-B|FAM49B|L1	CYFIP related Rac1 interactor B	protein-coding
chr6:126009154-126009571:268	chr12	5582098	5582098	+	-1	NA	intron (NM_001364791, intron 20 of 24)	intron (NM_001364791, intron 20 of 24)	87966	NM_002527	4908		NM_002527	ENSG00000185652	NTF3	HDNF|NGF-2|NGF2|NT-3|NT3	neurotrophin 3	protein-coding
chr1:133694846-133695258:207	chr1	203753365	203753365	+	-1	NA	Intergenic	Intergenic	-11818	NM_001136190	54900		NM_017773	ENSG00000122188	LAX1	LAX	lymphocyte transmembrane adaptor 1	protein-coding
chr7:71247864-71248329:248	chr15	95442260	95442260	+	-1	NA	intron (NR_027133, intron 1 of 5)	intron (NR_027133, intron 1 of 5)	9167	NR_027132	145820		NR_027132	ENSG00000259134	LINC00924	-	long intergenic non-protein coding RNA 924	ncRNA
chr18:68498943-68499476:189	chr18	56569610	56569610	+	-1	NA	Intergenic	Intergenic	68982	NR_024546	9352		NM_004786	ENSG00000091164	TXNL1	HEL-S-114|TRP32|TXL-1|TXNL|Txl	thioredoxin like 1	protein-coding
chr16:24347924-24348363:272	chr3	188098021	188098021	+	-1	NA	Intergenic	Intergenic	-55000	NM_001375456	4026		NM_005578	ENSG00000145012	LPP	-	LIM domain containing preferred translocation partner in lipoma	protein-coding
chr11:29808567-29808979:185	chr2	54880216	54880216	+	-1	NA	intron (NM_001039753, intron 16 of 40)	intron (NM_001039753, intron 16 of 40)	130056	NM_007008	57142		NM_007008	ENSG00000115310	RTN4	ASY|NI220/250|NOGO|NSP|NSP-CL|Nbla00271|Nbla10545|RTN-X|RTN4-A|RTN4-B1|RTN4-B2|RTN4-C	reticulon 4	protein-coding
chr2:38511452-38512054:468	chr9	124258245	124258245	+	-1	NA	promoter-TSS (NM_001166168)	promoter-TSS (NM_001166168)	-6	NM_001166168	10783		NM_014397	ENSG00000119408	NEK6	SID6-1512	NIMA related kinase 6	protein-coding
chr2:101733422-101734035:369	chr11	36447112	36447112	+	-1	NA	intron (NM_001160169, intron 6 of 6)	MIRb|SINE|MIR	46115	NM_001160169	79899		NM_024841	ENSG00000135362	PRR5L	PROTOR2	proline rich 5 like	protein-coding
chr7:36848823-36849145:133	chr19	31205116	31205116	+	-1	NA	intron (NR_138036, intron 2 of 4)	intron (NR_138036, intron 2 of 4)	37606	NR_147209	107985312		NR_147209	ENSG00000267777	LINC01791	-	long intergenic non-protein coding RNA 1791	ncRNA
chr4:62596094-62596631:244	chr9	113474037	113474037	+	-1	NA	intron (NM_017790, intron 1 of 17)	MamRep605|LTR?|LTR?	10310	NM_001282923	5998		NM_017790	ENSG00000138835	RGS3	C2PA|RGP3	regulator of G protein signaling 3	protein-coding
chr5:75876934-75877884:828	chr4	55005697	55005697	+	-1	NA	Intergenic	Intergenic	119898	NM_002253	3791		NM_002253	ENSG00000128052	KDR	CD309|FLK1|VEGFR|VEGFR2	kinase insert domain receptor	protein-coding
chr2:25279084-25279769:221	chr9	137180794	137180794	+	-1	NA	exon (NM_013366, exon 8 of 13)	exon (NM_013366, exon 8 of 13)	7766	NM_013366	29882		NM_013366	ENSG00000176248	ANAPC2	APC2	anaphase promoting complex subunit 2	protein-coding
chr3:9407081-9407604:221	chr8	80620611	80620611	+	-1	NA	Intergenic	Intergenic	134385	NM_001105539	65986		NM_023929	ENSG00000205189	ZBTB10	RINZF	zinc finger and BTB domain containing 10	protein-coding
chr2:12033397-12034111:412	chr10	15461938	15461938	+	-1	NA	Intergenic	Intergenic	-90649	NM_001010924	221061		NM_001010924	ENSG00000148468	FAM171A1	APCN|C10orf38	family with sequence similarity 171 member A1	protein-coding
chr2:167656558-167657211:125	chr20	50146410	50146410	+	-1	NA	intron (NM_199129, intron 1 of 5)	L2b|LINE|L2	7313	NM_199203	387522		NM_003349	ENSG00000124208	PEDS1-UBE2V1	CROC-1B|CROC1B|KUA-UEV|TMEM189-UBE2V1	PEDS1-UBE2V1 readthrough	protein-coding
chr5:129455214-129455583:157	chr12	131620710	131620710	+	-1	NA	Intergenic	MLT1K|LTR|ERVL-MaLR	27411	NR_146868	105370085		NR_146868		LINC02414	-	long intergenic non-protein coding RNA 2414	ncRNA
chr9:88361114-88361646:252	chr6	85477794	85477794	+	-1	NA	intron (NM_002526, intron 3 of 8)	intron (NM_002526, intron 3 of 8)	27711	NM_002526	4907		NM_002526	ENSG00000135318	NT5E	CALJA|CD73|E5NT|NT|NT5|NTE|eN|eNT	5'-nucleotidase ecto	protein-coding
chr18:68831530-68832404:166	chr18	56197860	56197860	+	-1	NA	Intergenic	L1M4|LINE|L1	-6598	NR_148972	642484		NR_148972	ENSG00000206129	LINC03069	-	long intergenic non-protein coding RNA 3069	ncRNA
chr15:100687061-100687402:155	chr12	51345886	51345886	+	-1	NA	intron (NM_001971, intron 1 of 7)	intron (NM_001971, intron 1 of 7)	793	NM_001971	1990		NM_001971	ENSG00000139610	CELA1	ELA1	chymotrypsin like elastase 1	protein-coding
chr8:11272034-11272642:303	chr13	110247946	110247946	+	-1	NA	intron (NM_001845, intron 1 of 51)	intron (NM_001845, intron 1 of 51)	59211	NM_001845	1282		NM_001845	ENSG00000187498	COL4A1	BSVD|BSVD1|COL4A1s|PADMAL|RATOR	collagen type IV alpha 1 chain	protein-coding
chr9:118725193-118725609:167	chr3	37574228	37574228	+	-1	NA	intron (NM_002207, intron 15 of 27)	intron (NM_002207, intron 15 of 27)	122087	NM_002207	3680		NM_002207	ENSG00000144668	ITGA9	ALPHA-RLC|ITGA4L|RLC	integrin subunit alpha 9	protein-coding
chr5:122481819-122482210:186	chr12	110318077	110318077	+	-1	NA	intron (NM_170665, intron 5 of 19)	intron (NM_170665, intron 5 of 19)	36830	NM_001681	488		NM_001681	ENSG00000174437	ATP2A2	ATP2B|DAR|DD|SERCA2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2	protein-coding
chr2:141288424-141288974:376	chr20	14985485	14985485	+	-1	NA	intron (NM_001351661, intron 5 of 17)	intron (NM_001351661, intron 5 of 17)	-55967	NR_110318	100379174		NR_037841	ENSG00000235914	MACROD2-AS1	BA318C17.1|NCRNA00186	MACROD2 antisense RNA 1	ncRNA
chr19:41774261-41774745:341	chr10	97230391	97230391	+	-1	NA	intron (NM_001204300, intron 8 of 10)	intron (NM_001204300, intron 8 of 10)	40266	NM_001256423	84986		NM_032900	ENSG00000213390	ARHGAP19	-	Rho GTPase activating protein 19	protein-coding
chr17:78444659-78445274:416	chr2	36655886	36655886	+	-1	NA	Intergenic	Intergenic	-40804	NM_001177969	5212		NM_053276	ENSG00000205221	VIT	VIT1	vitrin	protein-coding
chr9:62522200-62522785:147	chr15	68595461	68595461	+	-1	NA	intron (NM_006091, intron 1 of 11)	intron (NM_006091, intron 1 of 11)	16468	NM_006091	10391		NM_006091	ENSG00000103647	CORO2B	CLIPINC	coronin 2B	protein-coding
chr1:186555643-186556177:313	chr1	218516578	218516578	+	-1	NA	intron (NR_146760, intron 1 of 2)	AmnSINE2|SINE|tRNA-Deu	6483	NR_146760	440714		NR_146760	ENSG00000228208	LINC02869	C1orf143	long intergenic non-protein coding RNA 2869	ncRNA
chr1:192061665-192062184:191	chr1	211357181	211357181	+	-1	NA	intron (NM_004619, intron 4 of 10)	intron (NM_004619, intron 4 of 10)	10817	NM_145759	7188		NM_004619	ENSG00000082512	TRAF5	MGC:39780|RNF84	TNF receptor associated factor 5	protein-coding
chr5:118950946-118951540:266	chr12	115660678	115660678	+	-1	NA	Intergenic	Intergenic	487976	NR_030351	693205		NR_030351	ENSG00000207967	MIR620	MIRN620|hsa-mir-620	microRNA 620	ncRNA
chr18:75446808-75447684:352	chr18	48842831	48842831	+	-1	NA	intron (NM_014772, intron 10 of 11)	intron (NM_014772, intron 10 of 11)	99976	NM_001190823	4092		NM_005904	ENSG00000101665	SMAD7	CRCS3|MADH7|MADH8	SMAD family member 7	protein-coding
chr18:69196561-69197282:343	chr18	55781857	55781857	+	-1	NA	promoter-TSS (NR_145452)	promoter-TSS (NR_145452)	-132	NR_145452	100132501		NR_145452		LINC01415	TCONS_00026208	long intergenic non-protein coding RNA 1415	ncRNA
chr6:15730303-15730602:143	chr7	114932592	114932592	+	-1	NA	intron (NM_199072, intron 2 of 4)	L2|LINE|L2	10438	NM_199072	29969		NM_199072	ENSG00000135272	MDFIC	HIC|LMPHM12|MDFIC1	MyoD family inhibitor domain containing	protein-coding
chr5:96917546-96918203:315	chr4	78662183	78662183	+	-1	NA	intron (NR_038306, intron 2 of 2)	intron (NR_038306, intron 2 of 2)	16189	NR_038303	100505702		NR_038303		LINC01094	CTEPHA1	long intergenic non-protein coding RNA 1094	ncRNA
chr12:53033354-53034031:171	chr14	32703364	32703364	+	-1	NA	intron (NM_004274, intron 9 of 13)	intron (NM_004274, intron 9 of 13)	-235515	NM_001164749	64067		NM_022123	ENSG00000151322	NPAS3	MOP6|PASD6|bHLHe12	neuronal PAS domain protein 3	protein-coding
chr8:68392588-68393263:462	chr8	19448179	19448179	+	-1	NA	intron (NR_148900, intron 4 of 9)	intron (NR_148900, intron 4 of 9)	134203	NM_001174159	63898		NM_022071	ENSG00000104611	SH2D4A	PPP1R38|SH2A	SH2 domain containing 4A	protein-coding
chr15:89139967-89140961:392	chr22	50261396	50261396	+	-1	NA	exon (NM_002969, exon 1 of 12)	exon (NM_002969, exon 1 of 12)	287	NM_002969	6300		NM_002969	ENSG00000188130	MAPK12	ERK-6|ERK3|ERK6|MAPK 12|P38GAMMA|PRKM12|SAPK-3|SAPK3	mitogen-activated protein kinase 12	protein-coding
chr9:63971673-63971940:138	chr15	66760355	66760355	+	-1	NA	intron (NR_027654, intron 4 of 4)	intron (NR_027654, intron 4 of 4)	58119	NM_005585	4091		NM_005585	ENSG00000137834	SMAD6	AOVD2|HsT17432|MADH6|MADH7	SMAD family member 6	protein-coding
chr6:53963970-53964560:125	chr7	29109172	29109172	+	-1	NA	intron (NM_001371268, intron 3 of 9)	intron (NM_001371268, intron 3 of 9)	-15861	NR_120523	1124		NM_004067	ENSG00000106069	CHN2	ARHGAP3|BCH|CHN2-3|RHOGAP3	chimerin 2	protein-coding
chr12:86867227-86868228:905	chr14	77008318	77008318	+	-1	NA	Intergenic	Intergenic	20390	NM_024496	64207		NM_024496	ENSG00000119669	IRF2BPL	C14orf4|EAP1|NEDAMSS	interferon regulatory factor 2 binding protein like	protein-coding
chr5:53881445-53882169:339	chr4	26733792	26733792	+	-1	NA	intron (NM_001292054, intron 12 of 17)	L3|LINE|CR1	126452	NR_134675	105374546		NR_134673		STIM2-AS1	-	STIM2 antisense RNA 1	ncRNA
chr7:130673841-130674050:99	chr10	122142985	122142985	+	-1	NA	intron (NM_206861, intron 4 of 19)	intron (NM_206861, intron 4 of 19)	-20645	NM_206860	10579		NM_006997	ENSG00000138162	TACC2	AZU-1|ECTACC	transforming acidic coiled-coil containing protein 2	protein-coding
chr14:63409254-63409570:162	chr8	11510322	11510322	+	-1	NA	intron (NM_001330465, intron 1 of 11).2	MamSINE1|SINE|tRNA-RTE	15935	NM_001330465	640		NM_001715	ENSG00000136573	BLK	MODY11	BLK proto-oncogene, Src family tyrosine kinase	protein-coding
chr8:72131227-72131712:165	chr19	16071748	16071748	+	-1	NA	intron (NM_001367836, intron 1 of 8)	intron (NM_001367836, intron 1 of 8)	4210	NM_001145160	7171		NM_003290	ENSG00000167460	TPM4	BDPLT25|HEL-S-108	tropomyosin 4	protein-coding
chr18:70643727-70645207:585	chr18	54136220	54136220	+	-1	NA	Intergenic	MIRb|SINE|MIR	86192	NR_002970	677819		NR_002970	ENSG00000207233	SNORA37	ACA37	small nucleolar RNA, H/ACA box 37	snoRNA
chr7:112712035-112712356:138	chr11	12712344	12712344	+	-1	NA	intron (NM_021961, intron 2 of 12)	intron (NM_021961, intron 2 of 12)	37923	NM_021961	7003		NM_021961	ENSG00000187079	TEAD1	AA|NTEF-1|REF1|TCF-13|TCF13|TEAD-1|TEF-1	TEA domain transcription factor 1	protein-coding
chr9:48675156-48675704:223	chr11	114232877	114232877	+	-1	NA	intron (NM_001354751, intron 4 of 6)	intron (NM_001354751, intron 4 of 6)	-24929	NM_001372047	4837		NM_006169	ENSG00000166741	NNMT	-	nicotinamide N-methyltransferase	protein-coding
chr5:113672378-113672968:203	chr12	108367598	108367598	+	-1	NA	Intergenic	Intergenic	-28287	NM_004072	1240		NM_004072	ENSG00000174600	CMKLR1	CHEMERINR|ChemR23|DEZ|ERV1|RVER1	chemerin chemokine-like receptor 1	protein-coding
chr2:168098064-168098382:174	chr20	50749502	50749502	+	-1	NA	intron (NM_032521, intron 2 of 2)	intron (NM_032521, intron 2 of 2)	17922	NM_032521	84612		NM_032521	ENSG00000124171	PARD6B	PAR6B	par-6 family cell polarity regulator beta	protein-coding
chr18:36286183-36287870:1400	chr8	31032272	31032272	+	-1	NA	exon (NM_013357, exon 1 of 1)	exon (NM_013357, exon 1 of 1)	529	NM_013357	29942		NM_013357	ENSG00000172733	PURG	PURG-A|PURG-B|PURGA|PURGB	purine rich element binding protein G	protein-coding
chr5:75835130-75836002:717	chr4	54942184	54942184	+	-1	NA	Intergenic	Intergenic	183411	NM_002253	3791		NM_002253	ENSG00000128052	KDR	CD309|FLK1|VEGFR|VEGFR2	kinase insert domain receptor	protein-coding
chr12:83341917-83343225:125	chr14	72742083	72742083	+	-1	NA	intron (NM_001280544, intron 3 of 9)	intron (NM_001280544, intron 3 of 9)	150566	NM_001280544	8110		NM_012074	ENSG00000205683	DPF3	BAF45C|CERD4|SMARCG3	double PHD fingers 3	protein-coding
chr1:73644335-73644762:204	chr2	217535412	217535412	+	-1	NA	intron (NR_026597, intron 2 of 12)	intron (NR_026597, intron 2 of 12)	221181	NR_026597	729582		NR_026597	ENSG00000231672	DIRC3	-	disrupted in renal carcinoma 3	ncRNA
chr11:49764072-49765038:679	chr5	180380573	180380573	+	-1	NA	Intergenic	Intergenic	-27237	NM_005110	9945		NM_005110	ENSG00000131459	GFPT2	GFAT|GFAT 2|GFAT2	glutamine-fructose-6-phosphate transaminase 2	protein-coding
chr4:119178376-119178714:150	chr1	42842715	42842715	+	-1	NA	exon (NM_001017922, exon 12 of 12)	exon (NM_001017922, exon 12 of 12)	-3858	NM_015911	51058		NM_015911	ENSG00000164011	ZNF691	Zfp691	zinc finger protein 691	protein-coding
chr15:62392149-62393096:111	chr8	128239080	128239080	+	-1	NA	Intergenic	Intergenic	88964	NR_031613	100302281		NR_031613	ENSG00000221261	MIR1208	MIRN1208|hsa-mir-1208	microRNA 1208	ncRNA
chr16:72924446-72924731:145	chr3	78729077	78729077	+	-1	NA	intron (NM_133631, intron 3 of 28)	intron (NM_133631, intron 3 of 28)	290382	NM_133631	6091		NM_002941	ENSG00000169855	ROBO1	CPHD8|DUTT1|NORS|NYS8|SAX3	roundabout guidance receptor 1	protein-coding
chr14:76908019-76908316:136	chr13	44021792	44021792	+	-1	NA	promoter-TSS (NR_026955)	promoter-TSS (NR_026955)	-543	NR_026955	121838		NR_026955		NRAD1	LINC00284|NCRNA00284	non-coding RNA in the aldehyde dehydrogenase 1A pathway	ncRNA
chr3:95696334-95696864:223	chr1	150538284	150538284	+	-1	NA	Intergenic	Intergenic	-11124	NM_025008	54507		NM_019032	ENSG00000143382	ADAMTSL4	ADAMTSL-4|ECTOL2|TSRC1	ADAMTS like 4	protein-coding
chr10:20548739-20549217:198	chr6	136037510	136037510	+	-1	NA	intron (NM_018945, intron 2 of 12)	intron (NM_018945, intron 2 of 12)	35317	NR_149042	644135		NR_149042	ENSG00000237596	PDE7B-AS1	-	PDE7B antisense RNA 1	ncRNA
chr11:19204593-19204962:243	chr2	66239847	66239847	+	-1	NA	Intergenic	Intergenic	118481	NR_039938	100616464		NR_039938	ENSG00000264525	MIR4778	-	microRNA 4778	ncRNA
chr14:78482515-78483280:355	chr13	42334262	42334262	+	-1	NA	Intergenic	Intergenic	62110	NM_016248	11215		NM_016248	ENSG00000023516	AKAP11	AKAP-11|AKAP220|PPP1R44|PRKA11	A-kinase anchoring protein 11	protein-coding
chr11:80289716-80290534:615	chr17	32256828	32256828	+	-1	NA	Intergenic	Intergenic	-9004	NM_138328	162494		NM_138328	ENSG00000141314	RHBDL3	RHBDL4|VRHO	rhomboid like 3	protein-coding
chr18:35919571-35920147:128	chr5	139747291	139747291	+	-1	NA	Intergenic	CpG	-1068	NR_105053	101929696		NR_105052		PSD2-AS1	-	PSD2 antisense RNA 1	ncRNA
chr4:57866066-57866497:228	chr9	110146675	110146675	+	-1	NA	intron (NM_147150, intron 8 of 9)	intron (NM_147150, intron 8 of 9)	21174	NM_001136562	445815		NM_007203	ENSG00000157654	PALM2AKAP2	AKAP-2|AKAP-KL|AKAP2|AKAPKL|MISP2|PALM2|PALM2-AKAP2|PRKA2	PALM2 and AKAP2 fusion	protein-coding
chr9:41108180-41108759:297	chr11	122712285	122712285	+	-1	NA	intron (NM_032873, intron 1 of 13)	intron (NM_032873, intron 1 of 13)	56563	NM_001363365	84959		NM_032873	ENSG00000154127	UBASH3B	STS-1|STS1|TULA-2|TULA2|p70	ubiquitin associated and SH3 domain containing B	protein-coding
chr2:120518658-120519128:169	chr15	42427752	42427752	+	-1	NA	intron (NM_001381994, intron 14 of 20)	intron (NM_001381994, intron 14 of 20)	22973	NM_173090	825		NM_000070	ENSG00000092529	CAPN3	CANP3|CANPL3|LGMD2|LGMD2A|LGMDD4|LGMDR1|nCL-1|p94	calpain 3	protein-coding
chr11:53761784-53762311:208	chr5	132497862	132497862	+	-1	NA	Intergenic	Intergenic	-7089	NM_001354924	3659		NM_002198	ENSG00000125347	IRF1	IMD117|IRF-1|MAR	interferon regulatory factor 1	protein-coding
chr11:79087717-79088465:165	chr17	27531637	27531637	+	-1	NA	intron (NM_014238, intron 2 of 20)	intron (NM_014238, intron 2 of 20)	59673	NM_014238	8844		NM_014238	ENSG00000141068	KSR1	KSR|RSU2	kinase suppressor of ras 1	protein-coding
chr9:101015345-101015871:162	chr3	136282340	136282340	+	-1	NA	intron (NM_001178014, intron 6 of 15)	L1M4|LINE|L1	32000	NM_000532	5096		NM_000532	ENSG00000114054	PCCB	-	propionyl-CoA carboxylase subunit beta	protein-coding
chr10:118811063-118811709:498	chr12	67705894	67705894	+	-1	NA	Intergenic	Intergenic	23581	NR_110063	101927901		NR_110063	ENSG00000255970	LINC02421	-	long intergenic non-protein coding RNA 2421	ncRNA
chr11:72411036-72411960:124	chr17	4585066	4585066	+	-1	NA	intron (NM_001375361, intron 1 of 6)	CpG	537	NM_001114974	342527		NM_198501	ENSG00000188176	SMTNL2	-	smoothelin like 2	protein-coding
chr10:42941667-42942237:451	chr6	107730250	107730250	+	-1	NA	intron (NM_001286408, intron 4 of 6)	intron (NM_001286408, intron 4 of 6)	1900	NM_001286409	256380		NM_198081	ENSG00000146285	SCML4	dJ47M23.1	Scm polycomb group protein like 4	protein-coding
chr19:30115105-30115521:241	chr9	6554843	6554843	+	-1	NA	intron (NM_000170, intron 18 of 24)	intron (NM_000170, intron 18 of 24)	90886	NM_000170	2731		NM_000170	ENSG00000178445	GLDC	GCE|GCE1|GCSP|HYGN1	glycine decarboxylase	protein-coding
chr2:48539663-48540243:247	chr2	147554941	147554941	+	-1	NA	Intergenic	Intergenic	-289576	NM_001278579	92		NM_001616	ENSG00000121989	ACVR2A	ACTRII|ACVR2	activin A receptor type 2A	protein-coding
chr19:4302266-4302623:207	chr11	67270396	67270396	+	-1	NA	intron (NM_001619, intron 1 of 20)	intron (NM_001619, intron 1 of 20)	3923	NM_001619	156		NM_001619	ENSG00000173020	GRK2	ADRBK1|BARK1|BETA-ARK1	G protein-coupled receptor kinase 2	protein-coding
chr7:136502361-136503017:386	chr10	129046525	129046525	+	-1	NA	Intergenic	Intergenic	133692	NR_148990	728327		NR_148990	ENSG00000224190	LINC02667	-	long intergenic non-protein coding RNA 2667	ncRNA
chr2:118554394-118554983:164	chr15	40115999	40115999	+	-1	NA	Intergenic	Intergenic	-7120	NM_001003943	90427		NM_033503	ENSG00000104081	BMF	-	Bcl2 modifying factor	protein-coding
chr3:39219941-39221017:187	chr4	125739648	125739648	+	-1	NA	Intergenic	Intergenic	232389	NR_031746	100302267		NR_031746	ENSG00000283550	MIR2054	hsa-mir-2054	microRNA 2054	ncRNA
chr16:13246804-13247171:208	chr16	14058279	14058279	+	-1	NA	Intergenic	Intergenic	-12783	NM_001365420	57496		NM_014048	ENSG00000186260	MRTFB	MKL2|MRTF-B|NPD001	myocardin related transcription factor B	protein-coding
chr7:75371972-75372291:167	chr10	49275149	49275149	+	-1	NA	Intergenic	Intergenic	23744	NR_108038	100506769		NR_108038		C10orf71-AS1	-	C10orf71 antisense RNA 1	ncRNA
chr10:98781913-98782356:109	chr12	89855653	89855653	+	-1	NA	Intergenic	Intergenic	-92040	NR_135019	105369891		NR_135019	ENSG00000257725	LINC02399	-	long intergenic non-protein coding RNA 2399	ncRNA
chr14:78482515-78483280:629	chr13	42333987	42333987	+	-1	NA	Intergenic	Intergenic	61835	NM_016248	11215		NM_016248	ENSG00000023516	AKAP11	AKAP-11|AKAP220|PPP1R44|PRKA11	A-kinase anchoring protein 11	protein-coding
chr10:25449351-25449766:172	chr6	130945791	130945791	+	-1	NA	intron (NR_146620, intron 1 of 12)	MIRc|SINE|MIR	24692	NM_001350313	2037		NM_001431	ENSG00000079819	EPB41L2	4.1-G|4.1G	erythrocyte membrane protein band 4.1 like 2	protein-coding
chr13:63563032-63563533:364	chr9	95506184	95506184	+	-1	NA	intron (NM_001354919, intron 2 of 4)	CpG	1015	NM_001083607	5727		NM_000264	ENSG00000185920	PTCH1	BCNS|BCNS1|NBCCS|PTC|PTC1|PTCH	patched 1	protein-coding
chr10:75451227-75451978:301	chr22	24467072	24467072	+	-1	NA	intron (NR_028483, intron 3 of 7)	intron (NR_028483, intron 3 of 7)	28002	NR_028483	646023		NM_001039784	ENSG00000178803	ADORA2A-AS1	C22orf45|hLinfRNA1	ADORA2A antisense RNA 1	ncRNA
chr7:91542623-91543309:400	chr11	84437558	84437558	+	-1	NA	5' UTR (NM_001377973, exon 1 of 22)	5' UTR (NM_001377973, exon 1 of 22)	248	NM_001377973	1740		NM_001364	ENSG00000150672	DLG2	PPP1R58|PSD-93|PSD93|chapsyn-110	discs large MAGUK scaffold protein 2	protein-coding
chr1:106549024-106549517:242	chr18	63138285	63138285	+	-1	NA	intron (NM_000633, intron 2 of 2)	intron (NM_000633, intron 2 of 2)	181484	NM_000657	596		NM_000633	ENSG00000171791	BCL2	Bcl-2|PPP1R50	BCL2 apoptosis regulator	protein-coding
chr7:109541558-109542557:899	chr11	8715740	8715740	+	-1	NA	exon (NM_001376505, exon 3 of 17)	exon (NM_001376505, exon 3 of 17)	30301	NR_002977	677826		NR_002977	ENSG00000212607	SNORA3B	ACA3-2|SNORA45|SNORA45B	small nucleolar RNA, H/ACA box 3B	snoRNA
chr14:118690892-118691822:782	chr13	95280688	95280688	+	-1	NA	intron (NM_001301830, intron 1 of 19)	intron (NM_001301830, intron 1 of 19)	20763	NM_001301829	10257		NM_005845	ENSG00000125257	ABCC4	MOAT-B|MOATB|MRP4	ATP binding cassette subfamily C member 4 (PEL blood group)	protein-coding
chr8:87804048-87804991:789	chr16	49664655	49664655	+	-1	NA	promoter-TSS (NM_001330533)	promoter-TSS (NM_001330533)	-331	NM_001330533	23090		NM_015069	ENSG00000102935	ZNF423	Ebfaz|JBTS19|NPHP14|OAZ|Roaz|ZFP423|Zfp104|hOAZ	zinc finger protein 423	protein-coding
chr11:117534568-117535370:472	chr17	77795105	77795105	+	-1	NA	Intergenic	Intergenic	-66546	NR_104134	100132174		NR_104134	ENSG00000267790	LINC01987	-	long intergenic non-protein coding RNA 1987	ncRNA
chr5:111154636-111154931:134	chr22	28231592	28231592	+	-1	NA	intron (NM_001145418, intron 5 of 22)	intron (NM_001145418, intron 5 of 22)	-228277	NR_106713	102466081		NR_106713	ENSG00000276162	MIR5739	hsa-mir-5739	microRNA 5739	ncRNA
chr15:84697428-84698055:447	chr22	44729887	44729887	+	-1	NA	intron (NM_181334, intron 4 of 14)	CpG	-22671	NM_001017526	23779		NM_181335	ENSG00000241484	ARHGAP8	BPGAP1|PP610	Rho GTPase activating protein 8	protein-coding
chr2:84019784-84020353:402	chr2	186884818	186884818	+	-1	NA	Intergenic	Intergenic	-35648	NM_182521	151112		NM_182521	ENSG00000163012	ZSWIM2	MEX|ZZZ2	zinc finger SWIM-type containing 2	protein-coding
chr8:121241700-121242354:148	chr16	86772788	86772788	+	-1	NA	Intergenic	Intergenic	50697	NR_135182	102724344		NR_135182	ENSG00000261175	LINC02188	-	long intergenic non-protein coding RNA 2188	ncRNA
chr8:24450141-24450962:181	chr8	40135384	40135384	+	-1	NA	Intergenic	Intergenic	-18098	NM_020130	56892		NM_020130	ENSG00000176907	TCIM	C8orf4|TC-1|TC1	transcriptional and immune response regulator	protein-coding
chr9:42908563-42909258:264	chr11	120553741	120553741	+	-1	NA	intron (NM_014619, intron 1 of 20)	intron (NM_014619, intron 1 of 20)	-10695	NM_001282473	2900		NM_014619	ENSG00000149403	GRIK4	EAA1|GRIK|GluK4|GluK4-2|KA1	glutamate ionotropic receptor kainate type subunit 4	protein-coding
chr4:116597301-116597947:331	chr1	45622887	45622887	+	-1	NA	intron (NM_001114938, intron 4 of 12)	CpG-1056	1167	NM_001190182	149483		NM_152500	ENSG00000159588	CCDC17	-	coiled-coil domain containing 17	protein-coding
chr19:29963469-29964014:90	chr9	6290098	6290098	+	-1	NA	Intergenic	AluSx1|SINE|Alu	-38277	NM_001001875	89882		NM_033516	ENSG00000170777	TPD52L3	D55|NYDSP25|TPD55|hD55	TPD52 like 3	protein-coding
chr15:102240593-102241066:181	chr12	53214909	53214909	+	-1	NA	intron (NM_001042728, intron 3 of 7)	intron (NM_001042728, intron 3 of 7)	5453	NM_001042728	5916		NM_000966	ENSG00000172819	RARG	NR1B3|RARC|RARgamma	retinoic acid receptor gamma	protein-coding
chr12:70881175-70881741:289	chr14	51705457	51705457	+	-1	NA	intron (NM_001267046, intron 6 of 13)	intron (NM_001267046, intron 6 of 13)	-11826	NM_001267047	122786		NM_152330	ENSG00000139926	FRMD6	C14orf31|EX1|Willin|c14_5320	FERM domain containing 6	protein-coding
chr15:37791146-37792346:505	chr8	102123871	102123871	+	-1	NA	intron (NM_001040625, intron 1 of 6)	CpG	463	NM_001040627	83988		NM_032041	ENSG00000104490	NCALD	-	neurocalcin delta	protein-coding
chr8:117267441-117267787:170	chr16	81455209	81455209	+	-1	NA	intron (NM_198390, intron 1 of 20)	intron (NM_198390, intron 1 of 20)	10039	NM_198390	80790		NM_030629	ENSG00000153815	CMIP	TCMIP	c-Maf inducing protein	protein-coding
